카테고리,글제목,게임이름,출시일,가격,링크,한글화,플레이타임,게시글링크
게임,[게임]wasd 게임,wasd,(),"4,500",https://store.steampowered.com/app/3811390/WASD/,0,1시간 30분~2시간,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19407
게임,[게임]최대 16인 멀티 생존 오픈월드 게임,인슈라오디드,(),(할인  24000/ 현기준 27시간 48분 남음),https://store.steampowered.com/app/1203620/_Enshrouded/,0,무한,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19406
게임,[게임]4인 종겜 서바이벌,DayZ,(),-,https://store.steampowered.com/app/221100/DayZ/,0,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19349
할 게임,[할 게임]마법 외쳐야 하는 게임 + 리썰류 5인 멀티겜 YAPYAP 2/4 예정,YAPYAP,(),미정,https://store.steampowered.com/app/3834090/YAPYAP/,O,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19209
공겜,[공겜]1인 공겜,Dread Flats,(),6700원,https://store.steampowered.com/app/3114900/Dread_Flats/,O,1시간30분~2시간,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19152
게임,[게임]더 퍼스트 버서커 카잔,더 퍼스트 버서커 카잔,(),64800,https://store.steampowered.com/app/2680010/_/,0,30시간,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19133
게임,[게임]붉은 사막 공식 스토리 + 오픈월드 소개 영상 공개,붉은 사막,(),"79,800",https://store.steampowered.com/app/3321460/_/,O,30시간 이상 짜리 일듯,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19120
게임,[게임]Bogos Binted (4인 멀티게임),"Bogos Binted (4인멀티, 보드게임류)",(),"할인 3,070원",https://store.steampowered.com/app/3588490/Bogos_Binted/,O,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19107
게임,[게임]파피 플레이타임 챕터5 2/19일 출시예정,-,(),미확정,https://store.steampowered.com/app/4100940/Poppy_Playtime__Chapter_5/,O,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19106
게임,[게임]바이오하자드 레퀴엠 2/27일 출시예정,바이오하자드 레퀴엠 (Biohazard requiem),(),"79,800",https://store.steampowered.com/app/3764200/BIOHAZARD_requiem/,o,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19105
게임,[게임]인왕3 2/6 출시예정,인왕3 (nioh3),(),"79,800",https://store.steampowered.com/app/3681010/Nioh_3/,O,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19104
게임,[게임]REANIMAL 2/13일 예정 (리나메 제작진),REANIMAL,(),"42,000원",https://store.steampowered.com/app/2129530/REANIMAL/,O,모름,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19103
게임,[게임]1인 종겜,Wolfenstein II: The New Colossus,(),-,https://store.steampowered.com/app/612880/Wolfenstein_II_The_New_Colossus/,가능,10~15시간,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19089
게임,[게임]서바이벌 1인 공겜,Alien: Isolation,(),-,https://store.steampowered.com/app/214490/Alien_Isolation/,가능,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19087
게임,[게임]관절이 하나하나 움직이는 그 게임 The Professional,The Professional,(),무료,https://torfi.itch.io/the-professional,없는데 뭐 필요하진 않음,ㅋㅋㅋ 잘하면 빨리 끝남,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=18996
게임,[게임]죽어도 되살아나는 부랑자의 이야기 (the drifter),the drifter,(),21500원,https://store.steampowered.com/app/1170570/The_Drifter/,-,8시간 가량,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=18970
공겜,[공겜]사설 탐정이 되어보자!,The Wellmonts Case,(),9900원,https://store.steampowered.com/app/3648400/The_Wellmonts_Case/#app_reviews_hash,O,1~2시간,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=18876
공겜,[공겜]1인 생존 공겜,Before the Dawn: SENARA Prologue,(),-,https://store.steampowered.com/app/3116360/Before_the_Dawn_SENARA_Prologue/?l=koreana,-,1~2시간,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=18839
공겜,[공겜]1인 공겜,Iron Lung,(),8900,https://store.steampowered.com/app/1846170/Iron_Lung/,-,1~2시간,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=18838
게임,[게임]4인 협동 서바이벌 게임,Valheim,(),"11,000",https://store.steampowered.com/app/892970/Valheim/?l=koreana,ㅇ,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=18832
게임,[게임]1~4인 협동 공포게임 (리썰류) 심해탐,Darkwater,(),1만 1천원,https://store.steampowered.com/app/619540/Darkwater/,-,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=18831
게임,"[게임]협동 운전 게임 (4인 가능, 2인 추천)",Backseat Drivers,(),1만 1천원,https://store.steampowered.com/app/3558400/Backseat_Drivers/?l=koreana,없애도 대충 됨,한 맵당 1시간 정도는 걸리던데,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=18830
공겜,[공겜]공동묘지 경비원을 체험 해보자!,THE CEMETERY SHIFT,(),4900원,https://store.steampowered.com/app/4255740/The_Cemetery_Shift/,O,약 1시간,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=18785
게임,[게임]스텔라 블레이드,스텔라 블레이드,(),"62,800원",https://store.steampowered.com/app/3489700/_/,0,30시간,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=18740
공겜,[공겜]스시집에서 알바하기!,The Sushi House,(),5600원,https://store.steampowered.com/app/3687470/The_Sushi_House/,O,2~3시간,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=18736
